mpg,cylinders,displacement,horsepower,weight,acceleration,model,origin,car
18.0,8.0,307.0,130.0,3504.0,12.0,70.0,1.0,chevrolet chevelle malibu
15.0,8.0,350.0,165.0,3693.0,11.5,70.0,1.0,buick skylark 320
18.0,8.0,318.0,150.0,3436.0,11.0,70.0,1.0,plymouth satellite
16.0,8.0,304.0,150.0,3433.0,12.0,70.0,1.0,amc rebel sst
17.0,8.0,302.0,140.0,3449.0,10.5,70.0,1.0,ford torino
15.0,8.0,429.0,198.0,4341.0,10.0,70.0,1.0,ford galaxie 500
14.0,8.0,454.0,220.0,4354.0,9.0,70.0,1.0,chevrolet impala
14.0,8.0,440.0,215.0,4312.0,8.5,70.0,1.0,plymouth fury iii
14.0,8.0,455.0,225.0,4425.0,10.0,70.0,1.0,pontiac catalina
15.0,8.0,390.0,190.0,3850.0,8.5,70.0,1.0,amc ambassador dpl
15.0,8.0,383.0,170.0,3563.0,10.0,70.0,1.0,dodge challenger se
14.0,8.0,340.0,160.0,3609.0,8.0,70.0,1.0,plymouth 'cuda 340
15.0,8.0,400.0,150.0,3761.0,9.5,70.0,1.0,chevrolet monte carlo
14.0,8.0,455.0,225.0,3086.0,10.0,70.0,1.0,buick estate wagon (sw)
24.0,4.0,113.0,95.0,2372.0,15.0,70.0,3.0,toyota corona mark ii
22.0,6.0,198.0,95.0,2833.0,15.5,70.0,1.0,plymouth duster
18.0,6.0,199.0,97.0,2774.0,15.5,70.0,1.0,amc hornet
21.0,6.0,200.0,85.0,2587.0,16.0,70.0,1.0,ford maverick
27.0,4.0,97.0,88.0,2130.0,14.5,70.0,3.0,datsun pl510
26.0,4.0,97.0,46.0,1835.0,20.5,70.0,2.0,volkswagen 1131 deluxe sedan
25.0,4.0,110.0,87.0,2672.0,17.5,70.0,2.0,peugeot 504
24.0,4.0,107.0,90.0,2430.0,14.5,70.0,2.0,audi 100 ls
25.0,4.0,104.0,95.0,2375.0,17.5,70.0,2.0,saab 99e
26.0,4.0,121.0,113.0,2234.0,12.5,70.0,2.0,bmw 2002
21.0,6.0,199.0,90.0,2648.0,15.0,70.0,1.0,amc gremlin
10.0,8.0,360.0,215.0,4615.0,14.0,70.0,1.0,ford f250
10.0,8.0,307.0,200.0,4376.0,15.0,70.0,1.0,chevy c20
11.0,8.0,318.0,210.0,4382.0,13.5,70.0,1.0,dodge d200
9.0,8.0,304.0,193.0,4732.0,18.5,70.0,1.0,hi 1200d
27.0,4.0,97.0,88.0,2130.0,14.5,71.0,3.0,datsun pl510
28.0,4.0,140.0,90.0,2264.0,15.5,71.0,1.0,chevrolet vega 2300
25.0,4.0,113.0,95.0,2228.0,14.0,71.0,3.0,toyota corona
25.0,4.0,98.0,,2046.0,19.0,71.0,1.0,ford pinto
19.0,6.0,232.0,100.0,2634.0,13.0,71.0,1.0,amc gremlin
16.0,6.0,225.0,105.0,3439.0,15.5,71.0,1.0,plymouth satellite custom
17.0,6.0,250.0,100.0,3329.0,15.5,71.0,1.0,chevrolet chevelle malibu
19.0,6.0,250.0,88.0,3302.0,15.5,71.0,1.0,ford torino 500
18.0,6.0,232.0,100.0,3288.0,15.5,71.0,1.0,amc matador
14.0,8.0,350.0,165.0,4209.0,12.0,71.0,1.0,chevrolet impala
14.0,8.0,400.0,175.0,4464.0,11.5,71.0,1.0,pontiac catalina brougham
14.0,8.0,351.0,153.0,4154.0,13.5,71.0,1.0,ford galaxie 500
14.0,8.0,318.0,150.0,4096.0,13.0,71.0,1.0,plymouth fury iii
12.0,8.0,383.0,180.0,4955.0,11.5,71.0,1.0,dodge monaco (sw)
13.0,8.0,400.0,170.0,4746.0,12.0,71.0,1.0,ford country squire (sw)
13.0,8.0,400.0,175.0,5140.0,12.0,71.0,1.0,pontiac safari (sw)
18.0,6.0,258.0,110.0,2962.0,13.5,71.0,1.0,amc hornet sportabout (sw)
22.0,4.0,140.0,72.0,2408.0,19.0,71.0,1.0,chevrolet vega (sw)
19.0,6.0,250.0,100.0,3282.0,15.0,71.0,1.0,pontiac firebird
18.0,6.0,250.0,88.0,3139.0,14.5,71.0,1.0,ford mustang
23.0,4.0,122.0,86.0,2220.0,14.0,71.0,1.0,mercury capri 2000
28.0,4.0,116.0,90.0,2123.0,14.0,71.0,2.0,opel 1900
30.0,4.0,79.0,70.0,2074.0,19.5,71.0,2.0,peugeot 304
30.0,4.0,88.0,76.0,2065.0,14.5,71.0,2.0,fiat 124b
31.0,4.0,71.0,65.0,1773.0,19.0,71.0,3.0,toyota corolla 1200
35.0,4.0,72.0,69.0,1613.0,18.0,71.0,3.0,datsun 1200
27.0,4.0,97.0,60.0,1834.0,19.0,71.0,2.0,volkswagen model 111
26.0,4.0,91.0,70.0,1955.0,20.5,71.0,1.0,plymouth cricket
24.0,4.0,113.0,95.0,2278.0,15.5,72.0,3.0,toyota corona hardtop
25.0,4.0,97.5,80.0,2126.0,17.0,72.0,1.0,dodge colt hardtop
23.0,4.0,97.0,54.0,2254.0,23.5,72.0,2.0,volkswagen type 3
20.0,4.0,140.0,90.0,2408.0,19.5,72.0,1.0,chevrolet vega
21.0,4.0,122.0,86.0,2226.0,16.5,72.0,1.0,ford pinto runabout
13.0,8.0,350.0,165.0,4274.0,12.0,72.0,1.0,chevrolet impala
14.0,8.0,400.0,175.0,4385.0,12.0,72.0,1.0,pontiac catalina
15.0,8.0,318.0,150.0,4135.0,13.5,72.0,1.0,plymouth fury iii
14.0,8.0,351.0,153.0,4129.0,13.0,72.0,1.0,ford galaxie 500
17.0,8.0,304.0,150.0,3672.0,11.5,72.0,1.0,amc ambassador sst
11.0,8.0,429.0,208.0,4633.0,11.0,72.0,1.0,mercury marquis
13.0,8.0,350.0,155.0,4502.0,13.5,72.0,1.0,buick lesabre custom
12.0,8.0,350.0,160.0,4456.0,13.5,72.0,1.0,oldsmobile delta 88 royale
13.0,8.0,400.0,190.0,4422.0,12.5,72.0,1.0,chrysler newport royal
19.0,3.0,70.0,97.0,2330.0,13.5,72.0,3.0,mazda rx2 coupe
15.0,8.0,304.0,150.0,3892.0,12.5,72.0,1.0,amc matador (sw)
13.0,8.0,307.0,130.0,4098.0,14.0,72.0,1.0,chevrolet chevelle concours (sw)
13.0,8.0,302.0,140.0,4294.0,16.0,72.0,1.0,ford gran torino (sw)
14.0,8.0,318.0,150.0,4077.0,14.0,72.0,1.0,plymouth satellite custom (sw)
18.0,4.0,121.0,112.0,2933.0,14.5,72.0,2.0,volvo 145e (sw)
22.0,4.0,121.0,76.0,2511.0,18.0,72.0,2.0,volkswagen 411 (sw)
21.0,4.0,120.0,87.0,2979.0,19.5,72.0,2.0,peugeot 504 (sw)
26.0,4.0,96.0,69.0,2189.0,18.0,72.0,2.0,renault 12 (sw)
22.0,4.0,122.0,86.0,2395.0,16.0,72.0,1.0,ford pinto (sw)
28.0,4.0,97.0,92.0,2288.0,17.0,72.0,3.0,datsun 510 (sw)
23.0,4.0,120.0,97.0,2506.0,14.5,72.0,3.0,toyouta corona mark ii (sw)
28.0,4.0,98.0,80.0,2164.0,15.0,72.0,1.0,dodge colt (sw)
27.0,4.0,97.0,88.0,2100.0,16.5,72.0,3.0,toyota corolla 1600 (sw)
13.0,8.0,350.0,175.0,4100.0,13.0,73.0,1.0,buick century 350
14.0,8.0,304.0,150.0,3672.0,11.5,73.0,1.0,amc matador
13.0,8.0,350.0,145.0,3988.0,13.0,73.0,1.0,chevrolet malibu
14.0,8.0,302.0,137.0,4042.0,14.5,73.0,1.0,ford gran torino
15.0,8.0,318.0,150.0,3777.0,12.5,73.0,1.0,dodge coronet custom
12.0,8.0,429.0,198.0,4952.0,11.5,73.0,1.0,mercury marquis brougham
13.0,8.0,400.0,150.0,4464.0,12.0,73.0,1.0,chevrolet caprice classic
13.0,8.0,351.0,158.0,4363.0,13.0,73.0,1.0,ford ltd
14.0,8.0,318.0,150.0,4237.0,14.5,73.0,1.0,plymouth fury gran sedan
13.0,8.0,440.0,215.0,4735.0,11.0,73.0,1.0,chrysler new yorker brougham
12.0,8.0,455.0,225.0,4951.0,11.0,73.0,1.0,buick electra 225 custom
13.0,8.0,360.0,175.0,3821.0,11.0,73.0,1.0,amc ambassador brougham
18.0,6.0,225.0,105.0,3121.0,16.5,73.0,1.0,plymouth valiant
16.0,6.0,250.0,100.0,3278.0,18.0,73.0,1.0,chevrolet nova custom
18.0,6.0,232.0,100.0,2945.0,16.0,73.0,1.0,amc hornet
18.0,6.0,250.0,88.0,3021.0,16.5,73.0,1.0,ford maverick
23.0,6.0,198.0,95.0,2904.0,16.0,73.0,1.0,plymouth duster
26.0,4.0,97.0,46.0,1950.0,21.0,73.0,2.0,volkswagen super beetle
11.0,8.0,400.0,150.0,4997.0,14.0,73.0,1.0,chevrolet impala
12.0,8.0,400.0,167.0,4906.0,12.5,73.0,1.0,ford country
13.0,8.0,360.0,170.0,4654.0,13.0,73.0,1.0,plymouth custom suburb
12.0,8.0,350.0,180.0,4499.0,12.5,73.0,1.0,oldsmobile vista cruiser
18.0,6.0,232.0,100.0,2789.0,15.0,73.0,1.0,amc gremlin
20.0,4.0,97.0,88.0,2279.0,19.0,73.0,3.0,toyota carina
21.0,4.0,140.0,72.0,2401.0,19.5,73.0,1.0,chevrolet vega
22.0,4.0,108.0,94.0,2379.0,16.5,73.0,3.0,datsun 610
18.0,3.0,70.0,90.0,2124.0,13.5,73.0,3.0,maxda rx3
19.0,4.0,122.0,85.0,2310.0,18.5,73.0,1.0,ford pinto
21.0,6.0,155.0,107.0,2472.0,14.0,73.0,1.0,mercury capri v6
26.0,4.0,98.0,90.0,2265.0,15.5,73.0,2.0,fiat 124 sport coupe
15.0,8.0,350.0,145.0,4082.0,13.0,73.0,1.0,chevrolet monte carlo s
16.0,8.0,400.0,230.0,4278.0,9.5,73.0,1.0,pontiac grand prix
29.0,4.0,68.0,49.0,1867.0,19.5,73.0,2.0,fiat 128
24.0,4.0,116.0,75.0,2158.0,15.5,73.0,2.0,opel manta
20.0,4.0,114.0,91.0,2582.0,14.0,73.0,2.0,audi 100ls
19.0,4.0,121.0,112.0,2868.0,15.5,73.0,2.0,volvo 144ea
15.0,8.0,318.0,150.0,3399.0,11.0,73.0,1.0,dodge dart custom
24.0,4.0,121.0,110.0,2660.0,14.0,73.0,2.0,saab 99le
20.0,6.0,156.0,122.0,2807.0,13.5,73.0,3.0,toyota mark ii
11.0,8.0,350.0,180.0,3664.0,11.0,73.0,1.0,oldsmobile omega
20.0,6.0,198.0,95.0,3102.0,16.5,74.0,1.0,plymouth duster
21.0,6.0,200.0,,2875.0,17.0,74.0,1.0,ford maverick
19.0,6.0,232.0,100.0,2901.0,16.0,74.0,1.0,amc hornet
15.0,6.0,250.0,100.0,3336.0,17.0,74.0,1.0,chevrolet nova
31.0,4.0,79.0,67.0,1950.0,19.0,74.0,3.0,datsun b210
26.0,4.0,122.0,80.0,2451.0,16.5,74.0,1.0,ford pinto
32.0,4.0,71.0,65.0,1836.0,21.0,74.0,3.0,toyota corolla 1200
25.0,4.0,140.0,75.0,2542.0,17.0,74.0,1.0,chevrolet vega
16.0,6.0,250.0,100.0,3781.0,17.0,74.0,1.0,chevrolet chevelle malibu classic
16.0,6.0,258.0,110.0,3632.0,18.0,74.0,1.0,amc matador
18.0,6.0,225.0,105.0,3613.0,16.5,74.0,1.0,plymouth satellite sebring
16.0,8.0,302.0,140.0,4141.0,14.0,74.0,1.0,ford gran torino
13.0,8.0,350.0,150.0,4699.0,14.5,74.0,1.0,buick century luxus (sw)
14.0,8.0,318.0,150.0,4457.0,13.5,74.0,1.0,dodge coronet custom (sw)
14.0,8.0,302.0,140.0,4638.0,16.0,74.0,1.0,ford gran torino (sw)
14.0,8.0,304.0,150.0,4257.0,15.5,74.0,1.0,amc matador (sw)
29.0,4.0,98.0,83.0,2219.0,16.5,74.0,2.0,audi fox
26.0,4.0,79.0,67.0,1963.0,15.5,74.0,2.0,volkswagen dasher
26.0,4.0,97.0,78.0,2300.0,14.5,74.0,2.0,opel manta
31.0,4.0,76.0,52.0,1649.0,16.5,74.0,3.0,toyota corona
32.0,4.0,83.0,61.0,2003.0,19.0,74.0,3.0,datsun 710
28.0,4.0,90.0,75.0,2125.0,14.5,74.0,1.0,dodge colt
24.0,4.0,90.0,75.0,2108.0,15.5,74.0,2.0,fiat 128
26.0,4.0,116.0,75.0,2246.0,14.0,74.0,2.0,fiat 124 tc
24.0,4.0,120.0,97.0,2489.0,15.0,74.0,3.0,honda civic
26.0,4.0,108.0,93.0,2391.0,15.5,74.0,3.0,subaru
31.0,4.0,79.0,67.0,2000.0,16.0,74.0,2.0,fiat x1.9
19.0,6.0,225.0,95.0,3264.0,16.0,75.0,1.0,plymouth valiant custom
18.0,6.0,250.0,105.0,3459.0,16.0,75.0,1.0,chevrolet nova
15.0,6.0,250.0,72.0,3432.0,21.0,75.0,1.0,mercury monarch
15.0,6.0,250.0,72.0,3158.0,19.5,75.0,1.0,ford maverick
16.0,8.0,400.0,170.0,4668.0,11.5,75.0,1.0,pontiac catalina
15.0,8.0,350.0,145.0,4440.0,14.0,75.0,1.0,chevrolet bel air
16.0,8.0,318.0,150.0,4498.0,14.5,75.0,1.0,plymouth grand fury
14.0,8.0,351.0,148.0,4657.0,13.5,75.0,1.0,ford ltd
17.0,6.0,231.0,110.0,3907.0,21.0,75.0,1.0,buick century
16.0,6.0,250.0,105.0,3897.0,18.5,75.0,1.0,chevroelt chevelle malibu
15.0,6.0,258.0,110.0,3730.0,19.0,75.0,1.0,amc matador
18.0,6.0,225.0,95.0,3785.0,19.0,75.0,1.0,plymouth fury
21.0,6.0,231.0,110.0,3039.0,15.0,75.0,1.0,buick skyhawk
20.0,8.0,262.0,110.0,3221.0,13.5,75.0,1.0,chevrolet monza 2+2
13.0,8.0,302.0,129.0,3169.0,12.0,75.0,1.0,ford mustang ii
29.0,4.0,97.0,75.0,2171.0,16.0,75.0,3.0,toyota corolla
23.0,4.0,140.0,83.0,2639.0,17.0,75.0,1.0,ford pinto
20.0,6.0,232.0,100.0,2914.0,16.0,75.0,1.0,amc gremlin
23.0,4.0,140.0,78.0,2592.0,18.5,75.0,1.0,pontiac astro
24.0,4.0,134.0,96.0,2702.0,13.5,75.0,3.0,toyota corona
25.0,4.0,90.0,71.0,2223.0,16.5,75.0,2.0,volkswagen dasher
24.0,4.0,119.0,97.0,2545.0,17.0,75.0,3.0,datsun 710
18.0,6.0,171.0,97.0,2984.0,14.5,75.0,1.0,ford pinto
29.0,4.0,90.0,70.0,1937.0,14.0,75.0,2.0,volkswagen rabbit
19.0,6.0,232.0,90.0,3211.0,17.0,75.0,1.0,amc pacer
23.0,4.0,115.0,95.0,2694.0,15.0,75.0,2.0,audi 100ls
23.0,4.0,120.0,88.0,2957.0,17.0,75.0,2.0,peugeot 504
22.0,4.0,121.0,98.0,2945.0,14.5,75.0,2.0,volvo 244dl
25.0,4.0,121.0,115.0,2671.0,13.5,75.0,2.0,saab 99le
33.0,4.0,91.0,53.0,1795.0,17.5,75.0,3.0,honda civic cvcc
28.0,4.0,107.0,86.0,2464.0,15.5,76.0,2.0,fiat 131
25.0,4.0,116.0,81.0,2220.0,16.9,76.0,2.0,opel 1900
25.0,4.0,140.0,92.0,2572.0,14.9,76.0,1.0,capri ii
26.0,4.0,98.0,79.0,2255.0,17.7,76.0,1.0,dodge colt
27.0,4.0,101.0,83.0,2202.0,15.3,76.0,2.0,renault 12tl
17.5,8.0,305.0,140.0,4215.0,13.0,76.0,1.0,chevrolet chevelle malibu classic
16.0,8.0,318.0,150.0,4190.0,13.0,76.0,1.0,dodge coronet brougham
15.5,8.0,304.0,120.0,3962.0,13.9,76.0,1.0,amc matador
14.5,8.0,351.0,152.0,4215.0,12.8,76.0,1.0,ford gran torino
22.0,6.0,225.0,100.0,3233.0,15.4,76.0,1.0,plymouth valiant
22.0,6.0,250.0,105.0,3353.0,14.5,76.0,1.0,chevrolet nova
24.0,6.0,200.0,81.0,3012.0,17.6,76.0,1.0,ford maverick
22.5,6.0,232.0,90.0,3085.0,17.6,76.0,1.0,amc hornet
29.0,4.0,85.0,52.0,2035.0,22.2,76.0,1.0,chevrolet chevette
24.5,4.0,98.0,60.0,2164.0,22.1,76.0,1.0,chevrolet woody
29.0,4.0,90.0,70.0,1937.0,14.2,76.0,2.0,vw rabbit
33.0,4.0,91.0,53.0,1795.0,17.4,76.0,3.0,honda civic
