mpg,cylinders,displacement,horsepower,weight,acceleration,model,origin,car
20.0,6.0,225.0,100.0,3651.0,17.7,76.0,1.0,dodge aspen se
18.0,6.0,250.0,78.0,3574.0,21.0,76.0,1.0,ford granada ghia
18.5,6.0,250.0,110.0,3645.0,16.2,76.0,1.0,pontiac ventura sj
17.5,6.0,258.0,95.0,3193.0,17.8,76.0,1.0,amc pacer d/l
29.5,4.0,97.0,71.0,1825.0,12.2,76.0,2.0,volkswagen rabbit
32.0,4.0,85.0,70.0,1990.0,17.0,76.0,3.0,datsun b-210
28.0,4.0,97.0,75.0,2155.0,16.4,76.0,3.0,toyota corolla
26.5,4.0,140.0,72.0,2565.0,13.6,76.0,1.0,ford pinto
20.0,4.0,130.0,102.0,3150.0,15.7,76.0,2.0,volvo 245
13.0,8.0,318.0,150.0,3940.0,13.2,76.0,1.0,plymouth volare premier v8
19.0,4.0,120.0,88.0,3270.0,21.9,76.0,2.0,peugeot 504
19.0,6.0,156.0,108.0,2930.0,15.5,76.0,3.0,toyota mark ii
16.5,6.0,168.0,120.0,3820.0,16.7,76.0,2.0,mercedes-benz 280s
16.5,8.0,350.0,180.0,4380.0,12.1,76.0,1.0,cadillac seville
13.0,8.0,350.0,145.0,4055.0,12.0,76.0,1.0,chevy c10
13.0,8.0,302.0,130.0,3870.0,15.0,76.0,1.0,ford f108
13.0,8.0,318.0,150.0,3755.0,14.0,76.0,1.0,dodge d100
31.5,4.0,98.0,68.0,2045.0,18.5,77.0,3.0,honda accord cvcc
30.0,4.0,111.0,80.0,2155.0,14.8,77.0,1.0,buick opel isuzu deluxe
36.0,4.0,79.0,58.0,1825.0,18.6,77.0,2.0,renault 5 gtl
25.5,4.0,122.0,96.0,2300.0,15.5,77.0,1.0,plymouth arrow gs
33.5,4.0,85.0,70.0,1945.0,16.8,77.0,3.0,datsun f-10 hatchback
17.5,8.0,305.0,145.0,3880.0,12.5,77.0,1.0,chevrolet caprice classic
17.0,8.0,260.0,110.0,4060.0,19.0,77.0,1.0,oldsmobile cutlass supreme
15.5,8.0,318.0,145.0,4140.0,13.7,77.0,1.0,dodge monaco brougham
15.0,8.0,302.0,130.0,4295.0,14.9,77.0,1.0,mercury cougar brougham
17.5,6.0,250.0,110.0,3520.0,16.4,77.0,1.0,chevrolet concours
20.5,6.0,231.0,105.0,3425.0,16.9,77.0,1.0,buick skylark
19.0,6.0,225.0,100.0,3630.0,17.7,77.0,1.0,plymouth volare custom
18.5,6.0,250.0,98.0,3525.0,19.0,77.0,1.0,ford granada
16.0,8.0,400.0,180.0,4220.0,11.1,77.0,1.0,pontiac grand prix lj
15.5,8.0,350.0,170.0,4165.0,11.4,77.0,1.0,chevrolet monte carlo landau
15.5,8.0,400.0,190.0,4325.0,12.2,77.0,1.0,chrysler cordoba
16.0,8.0,351.0,149.0,4335.0,14.5,77.0,1.0,ford thunderbird
29.0,4.0,97.0,78.0,1940.0,14.5,77.0,2.0,volkswagen rabbit custom
24.5,4.0,151.0,88.0,2740.0,16.0,77.0,1.0,pontiac sunbird coupe
26.0,4.0,97.0,75.0,2265.0,18.2,77.0,3.0,toyota corolla liftback
25.5,4.0,140.0,89.0,2755.0,15.8,77.0,1.0,ford mustang ii 2+2
30.5,4.0,98.0,63.0,2051.0,17.0,77.0,1.0,chevrolet chevette
33.5,4.0,98.0,83.0,2075.0,15.9,77.0,1.0,dodge colt m/m
30.0,4.0,97.0,67.0,1985.0,16.4,77.0,3.0,subaru dl
30.5,4.0,97.0,78.0,2190.0,14.1,77.0,2.0,volkswagen dasher
22.0,6.0,146.0,97.0,2815.0,14.5,77.0,3.0,datsun 810
21.5,4.0,121.0,110.0,2600.0,12.8,77.0,2.0,bmw 320i
21.5,3.0,80.0,110.0,2720.0,13.5,77.0,3.0,mazda rx-4
43.1,4.0,90.0,48.0,1985.0,21.5,78.0,2.0,volkswagen rabbit custom diesel
36.1,4.0,98.0,66.0,1800.0,14.4,78.0,1.0,ford fiesta
32.8,4.0,78.0,52.0,1985.0,19.4,78.0,3.0,mazda glc deluxe
39.4,4.0,85.0,70.0,2070.0,18.6,78.0,3.0,datsun b210 gx
36.1,4.0,91.0,60.0,1800.0,16.4,78.0,3.0,honda civic cvcc
19.9,8.0,260.0,110.0,3365.0,15.5,78.0,1.0,oldsmobile cutlass salon brougham
19.4,8.0,318.0,140.0,3735.0,13.2,78.0,1.0,dodge diplomat
20.2,8.0,302.0,139.0,3570.0,12.8,78.0,1.0,mercury monarch ghia
19.2,6.0,231.0,105.0,3535.0,19.2,78.0,1.0,pontiac phoenix lj
20.5,6.0,200.0,95.0,3155.0,18.2,78.0,1.0,chevrolet malibu
20.2,6.0,200.0,85.0,2965.0,15.8,78.0,1.0,ford fairmont (auto)
25.1,4.0,140.0,88.0,2720.0,15.4,78.0,1.0,ford fairmont (man)
20.5,6.0,225.0,100.0,3430.0,17.2,78.0,1.0,plymouth volare
19.4,6.0,232.0,90.0,3210.0,17.2,78.0,1.0,amc concord
20.6,6.0,231.0,105.0,3380.0,15.8,78.0,1.0,buick century special
20.8,6.0,200.0,85.0,3070.0,16.7,78.0,1.0,mercury zephyr
18.6,6.0,225.0,110.0,3620.0,18.7,78.0,1.0,dodge aspen
18.1,6.0,258.0,120.0,3410.0,15.1,78.0,1.0,amc concord d/l
19.2,8.0,305.0,145.0,3425.0,13.2,78.0,1.0,chevrolet monte carlo landau
17.7,6.0,231.0,165.0,3445.0,13.4,78.0,1.0,buick regal sport coupe (turbo)
18.1,8.0,302.0,139.0,3205.0,11.2,78.0,1.0,ford futura
17.5,8.0,318.0,140.0,4080.0,13.7,78.0,1.0,dodge magnum xe
30.0,4.0,98.0,68.0,2155.0,16.5,78.0,1.0,chevrolet chevette
27.5,4.0,134.0,95.0,2560.0,14.2,78.0,3.0,toyota corona
27.2,4.0,119.0,97.0,2300.0,14.7,78.0,3.0,datsun 510
30.9,4.0,105.0,75.0,2230.0,14.5,78.0,1.0,dodge omni
21.1,4.0,134.0,95.0,2515.0,14.8,78.0,3.0,toyota celica gt liftback
23.2,4.0,156.0,105.0,2745.0,16.7,78.0,1.0,plymouth sapporo
23.8,4.0,151.0,85.0,2855.0,17.6,78.0,1.0,oldsmobile starfire sx
23.9,4.0,119.0,97.0,2405.0,14.9,78.0,3.0,datsun 200-sx
20.3,5.0,131.0,103.0,2830.0,15.9,78.0,2.0,audi 5000
17.0,6.0,163.0,125.0,3140.0,13.6,78.0,2.0,volvo 264gl
21.6,4.0,121.0,115.0,2795.0,15.7,78.0,2.0,saab 99gle
16.2,6.0,163.0,133.0,3410.0,15.8,78.0,2.0,peugeot 604sl
31.5,4.0,89.0,71.0,1990.0,14.9,78.0,2.0,volkswagen scirocco
29.5,4.0,98.0,68.0,2135.0,16.6,78.0,3.0,honda accord lx
21.5,6.0,231.0,115.0,3245.0,15.4,79.0,1.0,pontiac lemans v6
19.8,6.0,200.0,85.0,2990.0,18.2,79.0,1.0,mercury zephyr 6
22.3,4.0,140.0,88.0,2890.0,17.3,79.0,1.0,ford fairmont 4
20.2,6.0,232.0,90.0,3265.0,18.2,79.0,1.0,amc concord dl 6
20.6,6.0,225.0,110.0,3360.0,16.6,79.0,1.0,dodge aspen 6
17.0,8.0,305.0,130.0,3840.0,15.4,79.0,1.0,chevrolet caprice classic
17.6,8.0,302.0,129.0,3725.0,13.4,79.0,1.0,ford ltd landau
16.5,8.0,351.0,138.0,3955.0,13.2,79.0,1.0,mercury grand marquis
18.2,8.0,318.0,135.0,3830.0,15.2,79.0,1.0,dodge st. regis
16.9,8.0,350.0,155.0,4360.0,14.9,79.0,1.0,buick estate wagon (sw)
15.5,8.0,351.0,142.0,4054.0,14.3,79.0,1.0,ford country squire (sw)
19.2,8.0,267.0,125.0,3605.0,15.0,79.0,1.0,chevrolet malibu classic (sw)
18.5,8.0,360.0,150.0,3940.0,13.0,79.0,1.0,chrysler lebaron town @ country (sw)
31.9,4.0,89.0,71.0,1925.0,14.0,79.0,2.0,vw rabbit custom
34.1,4.0,86.0,65.0,1975.0,15.2,79.0,3.0,maxda glc deluxe
35.7,4.0,98.0,80.0,1915.0,14.4,79.0,1.0,dodge colt hatchback custom
27.4,4.0,121.0,80.0,2670.0,15.0,79.0,1.0,amc spirit dl
25.4,5.0,183.0,77.0,3530.0,20.1,79.0,2.0,mercedes benz 300d
23.0,8.0,350.0,125.0,3900.0,17.4,79.0,1.0,cadillac eldorado
27.2,4.0,141.0,71.0,3190.0,24.8,79.0,2.0,peugeot 504
23.9,8.0,260.0,90.0,3420.0,22.2,79.0,1.0,oldsmobile cutlass salon brougham
34.2,4.0,105.0,70.0,2200.0,13.2,79.0,1.0,plymouth horizon
34.5,4.0,105.0,70.0,2150.0,14.9,79.0,1.0,plymouth horizon tc3
31.8,4.0,85.0,65.0,2020.0,19.2,79.0,3.0,datsun 210
37.3,4.0,91.0,69.0,2130.0,14.7,79.0,2.0,fiat strada custom
28.4,4.0,151.0,90.0,2670.0,16.0,79.0,1.0,buick skylark limited
28.8,6.0,173.0,115.0,2595.0,11.3,79.0,1.0,chevrolet citation
26.8,6.0,173.0,115.0,2700.0,12.9,79.0,1.0,oldsmobile omega brougham
33.5,4.0,151.0,90.0,2556.0,13.2,79.0,1.0,pontiac phoenix
41.5,4.0,98.0,76.0,2144.0,14.7,80.0,2.0,vw rabbit
38.1,4.0,89.0,60.0,1968.0,18.8,80.0,3.0,toyota corolla tercel
32.1,4.0,98.0,70.0,2120.0,15.5,80.0,1.0,chevrolet chevette
37.2,4.0,86.0,65.0,2019.0,16.4,80.0,3.0,datsun 310
28.0,4.0,151.0,90.0,2678.0,16.5,80.0,1.0,chevrolet citation
26.4,4.0,140.0,88.0,2870.0,18.1,80.0,1.0,ford fairmont
24.3,4.0,151.0,90.0,3003.0,20.1,80.0,1.0,amc concord
19.1,6.0,225.0,90.0,3381.0,18.7,80.0,1.0,dodge aspen
34.3,4.0,97.0,78.0,2188.0,15.8,80.0,2.0,audi 4000
29.8,4.0,134.0,90.0,2711.0,15.5,80.0,3.0,toyota corona liftback
31.3,4.0,120.0,75.0,2542.0,17.5,80.0,3.0,mazda 626
37.0,4.0,119.0,92.0,2434.0,15.0,80.0,3.0,datsun 510 hatchback
32.2,4.0,108.0,75.0,2265.0,15.2,80.0,3.0,toyota corolla
46.6,4.0,86.0,65.0,2110.0,17.9,80.0,3.0,mazda glc
27.9,4.0,156.0,105.0,2800.0,14.4,80.0,1.0,dodge colt
40.8,4.0,85.0,65.0,2110.0,19.2,80.0,3.0,datsun 210
44.3,4.0,90.0,48.0,2085.0,21.7,80.0,2.0,vw rabbit c (diesel)
43.4,4.0,90.0,48.0,2335.0,23.7,80.0,2.0,vw dasher (diesel)
36.4,5.0,121.0,67.0,2950.0,19.9,80.0,2.0,audi 5000s (diesel)
30.0,4.0,146.0,67.0,3250.0,21.8,80.0,2.0,mercedes-benz 240d
44.6,4.0,91.0,67.0,1850.0,13.8,80.0,3.0,honda civic 1500 gl
40.9,4.0,85.0,,1835.0,17.3,80.0,2.0,renault lecar deluxe
33.8,4.0,97.0,67.0,2145.0,18.0,80.0,3.0,subaru dl
29.8,4.0,89.0,62.0,1845.0,15.3,80.0,2.0,vokswagen rabbit
32.7,6.0,168.0,132.0,2910.0,11.4,80.0,3.0,datsun 280-zx
23.7,3.0,70.0,100.0,2420.0,12.5,80.0,3.0,mazda rx-7 gs
35.0,4.0,122.0,88.0,2500.0,15.1,80.0,2.0,triumph tr7 coupe
23.6,4.0,140.0,,2905.0,14.3,80.0,1.0,ford mustang cobra
32.4,4.0,107.0,72.0,2290.0,17.0,80.0,3.0,honda accord
27.2,4.0,135.0,84.0,2490.0,15.7,81.0,1.0,plymouth reliant
26.6,4.0,151.0,84.0,2635.0,16.4,81.0,1.0,buick skylark
25.8,4.0,156.0,92.0,2620.0,14.4,81.0,1.0,dodge aries wagon (sw)
23.5,6.0,173.0,110.0,2725.0,12.6,81.0,1.0,chevrolet citation
30.0,4.0,135.0,84.0,2385.0,12.9,81.0,1.0,plymouth reliant
39.1,4.0,79.0,58.0,1755.0,16.9,81.0,3.0,toyota starlet
39.0,4.0,86.0,64.0,1875.0,16.4,81.0,1.0,plymouth champ
35.1,4.0,81.0,60.0,1760.0,16.1,81.0,3.0,honda civic 1300
32.3,4.0,97.0,67.0,2065.0,17.8,81.0,3.0,subaru
37.0,4.0,85.0,65.0,1975.0,19.4,81.0,3.0,datsun 210 mpg
37.7,4.0,89.0,62.0,2050.0,17.3,81.0,3.0,toyota tercel
34.1,4.0,91.0,68.0,1985.0,16.0,81.0,3.0,mazda glc 4
34.7,4.0,105.0,63.0,2215.0,14.9,81.0,1.0,plymouth horizon 4
34.4,4.0,98.0,65.0,2045.0,16.2,81.0,1.0,ford escort 4w
29.9,4.0,98.0,65.0,2380.0,20.7,81.0,1.0,ford escort 2h
33.0,4.0,105.0,74.0,2190.0,14.2,81.0,2.0,volkswagen jetta
34.5,4.0,100.0,,2320.0,15.8,81.0,2.0,renault 18i
33.7,4.0,107.0,75.0,2210.0,14.4,81.0,3.0,honda prelude
32.4,4.0,108.0,75.0,2350.0,16.8,81.0,3.0,toyota corolla
32.9,4.0,119.0,100.0,2615.0,14.8,81.0,3.0,datsun 200sx
31.6,4.0,120.0,74.0,2635.0,18.3,81.0,3.0,mazda 626
28.1,4.0,141.0,80.0,3230.0,20.4,81.0,2.0,peugeot 505s turbo diesel
30.7,6.0,145.0,76.0,3160.0,19.6,81.0,2.0,volvo diesel
25.4,6.0,168.0,116.0,2900.0,12.6,81.0,3.0,toyota cressida
24.2,6.0,146.0,120.0,2930.0,13.8,81.0,3.0,datsun 810 maxima
22.4,6.0,231.0,110.0,3415.0,15.8,81.0,1.0,buick century
26.6,8.0,350.0,105.0,3725.0,19.0,81.0,1.0,oldsmobile cutlass ls
20.2,6.0,200.0,88.0,3060.0,17.1,81.0,1.0,ford granada gl
17.6,6.0,225.0,85.0,3465.0,16.6,81.0,1.0,chrysler lebaron salon
28.0,4.0,112.0,88.0,2605.0,19.6,82.0,1.0,chevrolet cavalier
27.0,4.0,112.0,88.0,2640.0,18.6,82.0,1.0,chevrolet cavalier wagon
34.0,4.0,112.0,88.0,2395.0,18.0,82.0,1.0,chevrolet cavalier 2-door
31.0,4.0,112.0,85.0,2575.0,16.2,82.0,1.0,pontiac j2000 se hatchback
29.0,4.0,135.0,84.0,2525.0,16.0,82.0,1.0,dodge aries se
27.0,4.0,151.0,90.0,2735.0,18.0,82.0,1.0,pontiac phoenix
24.0,4.0,140.0,92.0,2865.0,16.4,82.0,1.0,ford fairmont futura
23.0,4.0,151.0,,3035.0,20.5,82.0,1.0,amc concord dl
36.0,4.0,105.0,74.0,1980.0,15.3,82.0,2.0,volkswagen rabbit l
37.0,4.0,91.0,68.0,2025.0,18.2,82.0,3.0,mazda glc custom l
31.0,4.0,91.0,68.0,1970.0,17.6,82.0,3.0,mazda glc custom
38.0,4.0,105.0,63.0,2125.0,14.7,82.0,1.0,plymouth horizon miser
36.0,4.0,98.0,70.0,2125.0,17.3,82.0,1.0,mercury lynx l
36.0,4.0,120.0,88.0,2160.0,14.5,82.0,3.0,nissan stanza xe
36.0,4.0,107.0,75.0,2205.0,14.5,82.0,3.0,honda accord
34.0,4.0,108.0,70.0,2245.0,16.9,82.0,3.0,toyota corolla
38.0,4.0,91.0,67.0,1965.0,15.0,82.0,3.0,honda civic
32.0,4.0,91.0,67.0,1965.0,15.7,82.0,3.0,honda civic (auto)
38.0,4.0,91.0,67.0,1995.0,16.2,82.0,3.0,datsun 310 gx
25.0,6.0,181.0,110.0,2945.0,16.4,82.0,1.0,buick century limited
38.0,6.0,262.0,85.0,3015.0,17.0,82.0,1.0,oldsmobile cutlass ciera (diesel)
26.0,4.0,156.0,92.0,2585.0,14.5,82.0,1.0,chrysler lebaron medallion
22.0,6.0,232.0,112.0,2835.0,14.7,82.0,1.0,ford granada l
32.0,4.0,144.0,96.0,2665.0,13.9,82.0,3.0,toyota celica gt
36.0,4.0,135.0,84.0,2370.0,13.0,82.0,1.0,dodge charger 2.2
27.0,4.0,151.0,90.0,2950.0,17.3,82.0,1.0,chevrolet camaro
27.0,4.0,140.0,86.0,2790.0,15.6,82.0,1.0,ford mustang gl
44.0,4.0,97.0,52.0,2130.0,24.6,82.0,2.0,vw pickup
32.0,4.0,135.0,84.0,2295.0,11.6,82.0,1.0,dodge rampage
28.0,4.0,120.0,79.0,2625.0,18.6,82.0,1.0,ford ranger
31.0,4.0,119.0,82.0,2720.0,19.4,82.0,1.0,chevy s-10
